# Target: WASP-39b
               # Instrument: NIRISS/SOSS
               # Pipeline: nirHiss
               # 1D Extraction : Box
               # Author: feinstein
               # Date: 2022-08-11T06:37:10
wave,wave_err,dppm,dppm_err,order
0.7024,0.00020231022476518978,20976.554091523663,468.6175,2
0.7028,0.00020233381091488978,20924.051968053744,382.17999999999995,2
0.7033,0.00020239129764815234,20966.956595282943,471.59349999999995,2
0.7037,0.00020239129764820785,20991.35378075741,457.3656,2
0.7042,0.0002025409747991036,20956.881859935507,471.1853,2
0.7046,0.00020257372768356374,21020.477403235218,444.3911,2
0.705,0.00020263496844619144,20925.14774632504,445.997,2
0.7055,0.0002027475954114455,20892.685411252714,419.14330000000007,2
0.7059,0.000202747595411501,20896.11651202188,487.61769999999996,2
0.7064,0.0002029062420297323,20884.266599543284,433.0264,2
0.7068,0.0002029266334468982,20878.501528804918,383.29249999999996,2
0.7072,0.0002030005796265777,20878.39497910227,372.73,2
0.7077,0.0002031017945405278,20880.452127089156,428.26000000000005,2
0.7081,0.0002031017945405278,20825.25415822851,450.50489999999996,2
0.7086,0.00020327038939194075,20849.19538466102,422.4602,2
0.709,0.00020327735176700612,20832.4733797305,465.7188,2
0.7094,0.00020336560826300643,20840.719568757213,450.2644,2
0.7099,0.00020345363640539293,20884.56773868866,424.8571,2
0.7103,0.0002034610458955255,20918.612384321226,409.1282,2
0.7108,0.00020362560890940795,20915.207522455552,459.1969,2
0.7112,0.00020362560890946346,20894.350724600605,427.8417,2
0.7116,0.00020372989181455248,20836.211149271297,565.7646,2
0.7121,0.00020380308197359698,20858.678111988906,472.9622,2
0.7125,0.00020382567495463855,20884.926570824762,621.9758,2
0.713,0.0002039713724327763,20898.710109616724,581.8942,2
0.7134,0.0002039713724328318,20934.80581501299,440.6597,2
0.7138,0.00020409394615072962,20973.72400828793,427.3342,2
0.7143,0.00020415085571778846,20966.87009202422,452.1344,2
0.7147,0.00020418981491859833,20918.1984765625,477.3603,2
0.7152,0.00020431752162264338,20933.53011460935,401.3082,2
0.7156,0.00020431752162264338,20967.47999158827,392.1909,2
0.7161,0.00020445587142964294,21042.985526719236,407.7063,2
0.7165,0.00020449340831407703,20996.96504676032,408.75079999999997,2
0.7169,0.00020455097961497026,20990.678337299523,415.894,2
0.7174,0.00020466198290286508,20992.73521382356,385.90160000000003,2
0.7178,0.0002046619829029206,21010.535809523204,407.17900000000003,2
0.7183,0.00020481630030894094,20991.911152944052,418.2516,2
0.7187,0.00020483373951102335,20953.210956067152,477.8945,2
0.7192,0.00020491157661783888,20976.11525028702,477.9943,2
0.7196,0.00020500388958144544,20975.25232510901,498.38499999999993,2
0.72,0.00020500698675479656,20942.704824072593,417.8054,2
0.7205,0.00020517145481874222,20820.35360672145,438.9244,2
0.7209,0.00020517145481879773,20822.976986487316,454.8458,2
0.7214,0.00020527161919647874,20815.47908210217,427.32430000000005,2
0.7218,0.0002053437073701314,20818.004502927957,424.33480000000003,2
0.7223,0.00020536763946560344,20810.78046069959,423.7051,2
0.7227,0.00020550700475008288,20753.044778019073,440.5314,2
0.7231,0.0002055070047501384,20747.41714232348,453.0444,2
0.7236,0.000205631633021508,20701.71534159029,431.573,2
0.724,0.00020568166466972126,20730.357686273892,459.11379999999997,2
0.7245,0.00020572747821129278,20753.248708682662,453.5075,2
0.7249,0.00020584377500532103,20745.275789097614,451.51,2
0.7254,0.00020584377500532103,20752.284872847933,465.9443,2
0.7258,0.00020598875142835427,20688.46289507675,383.0072,2
0.7262,0.00020601362003885848,20684.010468100056,489.22850000000005,2
0.7267,0.0002060840865502067,20643.394494323504,540.1065,2
0.7271,0.00020617881854656517,20624.930788576152,433.9839,2
0.7276,0.00020617906127173846,20511.67319599814,468.69149999999996,2
0.728,0.00020634313151274286,20512.402645338254,532.9671,2
0.7285,0.00020634313151274286,20506.417253343036,539.5852000000001,2
0.7289,0.0002064406147102016,20470.104634914544,580.4857,2
0.7294,0.00020651169163243832,20489.703420149548,919.8561,2
0.7298,0.00020653674583837045,20583.341880911972,906.3905000000001,2
0.7303,0.00020667111159017315,20730.88180706531,664.3369,2
0.7307,0.00020667111159017315,20713.023593847483,896.2838,2
0.7311,0.00020679668560102948,20808.117574686443,850.293,2
0.7316,0.00020684129934761541,20914.177082241877,843.0879000000001,2
0.732,0.0002068924685377227,21039.4636846379,751.323,2
0.7325,0.0002070009319376509,21083.079988098965,832.332,2
0.7329,0.0002070009319376509,21104.357144779835,814.0825,2
0.7334,0.00020714954404860153,21102.243528022325,848.9123,2
0.7338,0.00020716512689850086,21322.41128361324,1099.6353,2
0.7343,0.00020724557598517102,21184.23512078899,1162.3537999999999,2
0.7347,0.00020732878706059,21108.78519366058,954.8611999999999,2
0.7352,0.00020734138481359743,21072.33105974291,1188.1459,2
0.7356,0.00020748639023010496,20962.156383124617,1042.8028000000002,2
0.736,0.00020748639023016047,21013.426156231173,727.1034000000001,2
0.7365,0.00020759916628393382,20887.600205735765,1188.7404999999999,2
0.7369,0.00020765467834710227,20885.768993041944,1226.4107000000001,2
0.7374,0.00020769548406651683,20889.902761639572,1605.9845,2
0.7378,0.0002078102513244917,20907.535566231818,2148.5681,2
0.7383,0.00020781025132454722,20732.977722932435,1944.1559,2
0.7387,0.0002079501042001608,20943.697587222254,6180.384499999999,2
0.7392,0.0002079735827621998,20918.579668421597,7543.3198999999995,2
0.7396,0.00020804568179744187,20844.514991055912,432.5287,2
0.7401,0.00020813305843009333,20793.969181062796,443.34369999999996,2
0.7405,0.00020814083841930175,20785.868490475554,449.0152,2
0.741,0.00020828931087907288,20831.506291478894,463.6873,2
0.7414,0.00020828931087901736,20866.211295502228,441.0004,2
0.7419,0.0002083961701396797,20883.241257122503,486.166,2
0.7423,0.00020845389105689227,20925.0571054297,468.06559999999996,2
0.7428,0.00020849243149889674,20902.060048740343,487.6225,2
0.7432,0.00020860763959351658,20963.51632421779,425.63190000000003,2
0.7437,0.00020860763959351658,20955.369035925578,454.0201,2
0.7441,0.00020874405745296976,20936.96207869051,464.135,2
0.7445,0.00020876741169584268,20981.780015120145,461.3399,2
0.745,0.00020883985759423407,21022.634478539912,465.476,2
0.7454,0.00020892530851740476,21012.41324534996,496.68149999999997,2
0.7459,0.00020893533329369163,20998.41343813717,438.27770000000004,2
0.7463,0.00020907808285108853,21050.828019195607,452.34909999999996,2
0.7468,0.00020907808285114404,21047.65472240694,503.5887,2
0.7472,0.00020918775254336053,21101.993235252154,455.0983,2
0.7477,0.00020924075718520285,21097.344654612352,496.87859999999995,2
0.7481,0.0002092839679047609,21085.588830710458,456.2274,2
0.7486,0.0002093925999966939,21068.223288852347,500.16929999999996,2
0.749,0.0002093925999966939,20990.214631807998,503.86210000000005,2
0.7495,0.00020953212393876042,21006.85902082971,468.0446,2
0.7499,0.00020954819428292693,21013.34616733256,454.5067,2
0.7504,0.00020962832622156702,21028.239250755498,473.0849,2
0.7508,0.00020970512175016998,20946.14894467061,444.04019999999997,2
0.7513,0.0002097240872667716,20910.657475490647,427.5636,2
0.7517,0.00020985524847733084,20875.35586951793,456.63300000000004,2
0.7522,0.00020985524847733084,20783.476036383956,476.7153,2
0.7526,0.00020997320827442767,20731.911868715062,453.0535,2
0.7531,0.00021001385300700726,20781.027527837614,446.8678,2
0.7535,0.00021006867361189618,20889.960893012165,439.7173,2
0.754,0.00021016489890962609,20852.862249136644,480.9412,2
0.7544,0.00021016489890962609,20636.49642449539,754.9556,2
0.7549,0.00021031359934292615,20653.342469435807,668.5098999999999,2
0.7553,0.00021031603938698185,20710.214338044367,779.9563,2
0.7558,0.00021041084714806813,20690.441390682114,680.7099000000001,2
0.7562,0.0002104723636978667,20706.288215638568,799.9392,2
0.7567,0.00021050659335491995,20774.074242202456,608.2252,2
0.7571,0.00021062062590815334,20834.993508986445,742.1955999999999,2
0.7576,0.00021062062590815334,20765.24440613195,688.0054,2
0.758,0.0002107514685175671,20757.785315728877,686.6596000000001,2
0.7585,0.00021077331248681164,20826.211749868762,575.6484999999999,2
0.7589,0.000210846883989535,20965.459364030852,495.76079999999996,2
0.7594,0.00021092509422820926,21000.34473332886,398.83250000000004,2
0.7598,0.0002109418661913609,20929.411243654064,456.43739999999997,2
0.7603,0.000211071947131658,20954.07305137439,452.5334,2
0.7607,0.000211071947131658,20943.77666196355,436.4209,2
0.7612,0.00021118681581838716,20941.834858730657,469.3947,2
0.7616,0.00021122606114160059,20908.986075481684,392.0727,2
0.7621,0.00021128192429542558,20993.493886885808,473.8661,2
0.7626,0.00021137376262192475,21073.109257374723,464.721,2
0.763,0.000211375621926857,21080.133486580078,447.7174,2
0.7635,0.000211519721598441,21192.273861695496,488.653,2
0.7639,0.00021151972159849652,21260.26675562046,462.5433,2
0.7644,0.0002116195925928599,21329.224423668584,449.9496,2
0.7648,0.00021167363145679907,21406.68006677979,562.371,2
