wave,wave_error,dppm,dppm_err,order
0.60107, 0.00020, 14352.60, 1278.70, 2
0.60147, 0.00020, 12504.50, 1334.60, 2
0.60187, 0.00020, 16063.00, 1142.50, 2
0.60227, 0.00020, 13263.90, 1094.80, 2
0.60267, 0.00020, 14852.40, 1139.60, 2
0.60307, 0.00020, 15529.50, 1159.40, 2
0.60347, 0.00020, 14339.00, 1164.00, 2
0.60387, 0.00020, 14619.50, 1095.90, 2
0.60427, 0.00020, 13212.40, 1270.60, 2
0.60467, 0.00020, 13881.70, 1057.40, 2
0.60517, 0.00025, 15013.20, 947.40, 2
0.60557, 0.00020, 13992.90, 1155.90, 2
0.60597, 0.00020, 15810.50, 1066.90, 2
0.60637, 0.00020, 14518.90, 986.90, 2
0.60677, 0.00020, 15724.80, 1090.10, 2
0.60717, 0.00020, 15564.50, 953.50, 2
0.60757, 0.00020, 13542.10, 1047.60, 2
0.60797, 0.00020, 14348.70, 1044.80, 2
0.60837, 0.00020, 13647.60, 1262.30, 2
0.60887, 0.00025, 14704.70, 965.20, 2
0.60927, 0.00020, 14938.30, 2346.00, 2
0.60967, 0.00020, 14061.00, 1050.30, 2
0.61007, 0.00020, 15452.40, 979.00, 2
0.61087, 0.00040, 15387.70, 1053.30, 2
0.61127, 0.00020, 16193.50, 1063.00, 2
0.61167, 0.00020, 14077.70, 1006.60, 2
0.61217, 0.00025, 15194.50, 957.50, 2
0.61257, 0.00020, 13791.50, 1060.10, 2
0.61297, 0.00020, 14139.90, 1133.20, 2
0.61337, 0.00020, 14286.80, 974.00, 2
0.61377, 0.00020, 14842.40, 969.10, 2
0.61417, 0.00020, 15217.60, 979.50, 2
0.61457, 0.00020, 14828.50, 942.00, 2
0.61497, 0.00020, 15099.10, 946.60, 2
0.61547, 0.00025, 14140.00, 1007.10, 2
0.61587, 0.00020, 14657.10, 873.30, 2
0.61627, 0.00020, 14490.80, 811.70, 2
0.61667, 0.00020, 13274.60, 946.30, 2
0.61707, 0.00020, 13611.90, 1485.60, 2
0.61747, 0.00020, 14760.60, 933.40, 2
0.61787, 0.00020, 14021.60, 874.00, 2
0.61837, 0.00025, 14901.30, 854.20, 2
0.61877, 0.00020, 15044.60, 825.30, 2
0.61917, 0.00020, 14740.20, 868.70, 2
0.61957, 0.00020, 14905.50, 876.90, 2
0.61997, 0.00020, 13196.80, 865.30, 2
0.62037, 0.00020, 13241.20, 986.90, 2
0.62087, 0.00025, 14894.50, 658.90, 2
0.62127, 0.00020, 14048.40, 1006.90, 2
0.62167, 0.00020, 13851.40, 814.50, 2
0.62207, 0.00020, 15135.50, 815.80, 2
