wave,wave_error,dppm,dppm_err,order
0.60267, 0.00184, 14304.09, 360.24, 2
0.60636, 0.00184, 14710.81, 267.46, 2
0.61001, 0.00183, 14807.86, 283.30, 2
0.61378, 0.00188, 14615.59, 167.32, 2
0.61750, 0.00186, 14389.19, 192.99, 2
0.62124, 0.00187, 14144.99, 224.47, 2
0.62500, 0.00188, 14144.11, 83.91, 2
0.62869, 0.00184, 14379.35, 212.75, 2
0.63252, 0.00192, 14196.98, 121.15, 2
0.63630, 0.00189, 14223.04, 200.67, 2
0.64010, 0.00190, 14149.41, 176.69, 2
0.64389, 0.00189, 14555.16, 268.77, 2
0.64771, 0.00191, 14185.86, 153.97, 2
0.65152, 0.00190, 14511.61, 162.03, 2
0.65537, 0.00193, 14363.48, 144.08, 2
0.65919, 0.00191, 14561.13, 186.35, 2
0.66306, 0.00193, 14065.58, 107.09, 2
0.66692, 0.00193, 14562.57, 181.62, 2
0.67079, 0.00194, 14364.01, 165.52, 2
0.67468, 0.00194, 14472.48, 199.06, 2
0.67855, 0.00194, 14534.46, 132.49, 2
0.68245, 0.00195, 14716.77, 69.36, 2
0.68636, 0.00195, 14560.62, 146.51, 2
0.69051, 0.00207, 14630.63, 89.87, 2
0.69465, 0.00207, 14327.70, 109.21, 2
0.69858, 0.00196, 14338.83, 125.46, 2
0.70275, 0.00209, 14463.78, 155.12, 2
0.70713, 0.00219, 14161.77, 80.50, 2
0.71156, 0.00221, 14612.29, 98.28, 2
0.71597, 0.00221, 14495.04, 112.01, 2
0.72039, 0.00221, 14594.34, 122.68, 2
0.72482, 0.00222, 14204.38, 81.36, 2
0.72927, 0.00222, 14374.51, 156.03, 2
0.73372, 0.00223, 14606.95, 100.92, 2
0.73838, 0.00233, 14411.89, 183.93, 2
0.74265, 0.00213, 14223.13, 124.35, 2
0.74716, 0.00226, 14416.96, 101.47, 2
0.75166, 0.00225, 14093.02, 93.58, 2
0.75616, 0.00225, 14307.03, 98.15, 2
0.76066, 0.00225, 14442.98, 113.84, 2
0.76523, 0.00228, 14494.44, 153.82, 2
0.77016, 0.00246, 14647.23, 98.39, 2
0.77470, 0.00227, 14662.04, 158.21, 2
0.77925, 0.00227, 14361.61, 164.24, 2
0.78381, 0.00228, 13825.70, 166.08, 2
0.78838, 0.00228, 14192.43, 165.76, 2
0.79295, 0.00229, 14691.59, 156.39, 2
0.79753, 0.00229, 14222.67, 83.85, 2
0.80211, 0.00229, 14246.67, 156.07, 2
0.80671, 0.00230, 14163.97, 168.33, 2
0.81131, 0.00230, 14800.08, 161.73, 2
0.81593, 0.00231, 14386.60, 145.46, 2
0.82055, 0.00231, 14459.16, 163.91, 2
0.82541, 0.00243, 14269.92, 239.36, 2
0.83050, 0.00255, 14299.94, 137.10, 2
0.83560, 0.00255, 14151.15, 257.79, 2
0.84072, 0.00256, 14770.17, 204.68, 2
0.85471, 0.00488, 14185.00, 134.80, 1
