# WavelengthLower, WavelengthUpper, Wavelength, TransitDepth, TransitError
6.139474229276588035e-01 6.196515392665590261e-01 6.167994810971089148e-01 1.416866124864632729e+04 5.134790314538392408e+01
6.196515392665590261e-01 6.253556556054592486e-01 6.225035974360091373e-01 1.427879081018349279e+04 5.152331824378558878e+01
6.276373021410194264e-01 6.379047115510400046e-01 6.327710068460297155e-01 1.395897436614422986e+04 3.862413283224567095e+01
6.349711660053197759e-01 6.393714843238998968e-01 6.371713251646098364e-01 1.405354940265352525e+04 5.902760694614738668e+01
6.432828783848600906e-01 6.555059848253608212e-01 6.493944316051104559e-01 1.395127012347428172e+04 3.570558757136344497e+01
6.538762372999606942e-01 6.628398486896611708e-01 6.583580429948109325e-01 1.409750790409954971e+04 4.218954262995699622e+01
6.616175380456110755e-01 6.681365281472113615e-01 6.648770330964112185e-01 1.415571609394610095e+04 4.958409153268918601e+01
6.685439650285613933e-01 6.758778288928617428e-01 6.722108969607115680e-01 1.429326206808295683e+04 4.698529878279496330e+01
6.771001395369118381e-01 6.868786246893121561e-01 6.819893821131119971e-01 1.422771345423113416e+04 4.111213355133433822e+01
6.881009353333622514e-01 7.003240417738629819e-01 6.942124885536126166e-01 1.431159250840266213e+04 3.708813897579064189e+01
6.933976147909126642e-01 6.917678672655125371e-01 6.925827410282126007e-01 1.421981394294926577e+04 inf
6.974719836044127597e-01 7.072504687568132997e-01 7.023612261806130297e-01 1.457885065499244593e+04 4.181714074362081135e+01
7.056207212314131727e-01 7.121397113330134587e-01 7.088802162822133157e-01 1.451156071220695594e+04 5.140804458356915063e+01
7.141768957397636175e-01 7.247702546548639990e-01 7.194735751973138083e-01 1.428975126160473701e+04 4.076036299826711229e+01
7.257888468582391894e-01 7.384193901800897297e-01 7.321041185191644596e-01 1.426234929311753513e+04 3.766099292328019743e+01
7.363822057733396820e-01 7.449383802816901268e-01 7.406602930275149044e-01 1.449505822025349698e+04 4.601737028207911351e+01
7.447346618410151109e-01 7.528833994680155239e-01 7.488090306545153174e-01 1.423287832108105067e+04 4.763128732598367776e+01
7.524759625866654922e-01 7.598098264509658417e-01 7.561428945188156669e-01 1.441589029148728150e+04 5.058412894993307418e+01
7.606247002136659052e-01 7.695883116033661597e-01 7.651065059085160325e-01 1.429328543674104731e+04 4.611077177114790260e+01
7.691808747220162390e-01 7.773296123490166520e-01 7.732552435355164455e-01 1.418209043749609191e+04 4.876706780380776962e+01
7.773296123490166520e-01 7.854783499760170651e-01 7.814039811625168586e-01 1.414648006458846612e+04 4.916165682931359981e+01
7.854783499760170651e-01 7.936270876030174781e-01 7.895527187895172716e-01 1.445395015415344278e+04 4.956341759225932719e+01
7.936270876030173671e-01 8.017758252300177801e-01 7.977014564165175736e-01 1.452452696361240487e+04 4.997220556256070978e+01
8.021832621113678119e-01 8.111468735010682884e-01 8.066650678062180502e-01 1.408421319322204181e+04 4.806141426960714824e+01
8.127766210264684155e-01 8.249997274669689240e-01 8.188881742467186697e-01 1.417582039835139767e+04 4.175844910348534000e+01
8.258146012296689875e-01 8.396674551955696231e-01 8.327410282126193053e-01 1.425397426898468439e+04 3.976385072602304405e+01
8.347782126193694641e-01 8.388525814328695596e-01 8.368153970261195118e-01 1.419863025438955810e+04 7.323699054571652312e+01
8.392600183142195913e-01 8.441492608904199724e-01 8.417046396023197818e-01 1.442868430722753874e+04 6.771242161148248329e+01
8.465938821785199409e-01 8.563723673309204809e-01 8.514831247547202109e-01 1.421092736158068146e+04 4.819140801372526539e+01
8.571872410936205444e-01 8.685954737714209895e-01 8.628913574325207669e-01 1.413835052545498183e+04 4.528283073170529605e+01
8.681880368900709577e-01 8.787813958051715613e-01 8.734847163476212595e-01 1.414622993339630375e+04 4.738003209011415606e+01
8.763367745170713707e-01 8.820408908559718153e-01 8.791888326865215930e-01 1.391327903246086498e+04 6.515953949852482197e+01
