# WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
5.980898159748773146e-01 6.069011616663113617e-01 6.024954888205943382e-01 1.652256185465622366e+03 1.000000000000000000e+00
6.069011616663113617e-01 6.157125073577456309e-01 6.113068345120284963e-01 1.064761489994151589e+03 2.000000000000000000e+00
6.157125073577456309e-01 6.245238530491796780e-01 6.201181802034626545e-01 8.895175051535278499e+02 2.000000000000000000e+00
6.245238530491796780e-01 6.333351987406139472e-01 6.289295258948968126e-01 6.122922391844451795e+02 2.000000000000000000e+00
6.333351987406139472e-01 6.421465444320479943e-01 6.377408715863309707e-01 4.137636668155240613e+02 2.000000000000000000e+00
6.421465444320479943e-01 6.509578901234822634e-01 6.465522172777651289e-01 4.517764414230742318e+02 1.000000000000000000e+00
6.509578901234822634e-01 6.597692358149163105e-01 6.553635629691992870e-01 2.718061822804551184e+02 2.000000000000000000e+00
6.597692358149163105e-01 6.685805815063505797e-01 6.641749086606334451e-01 2.490226854497720410e+02 2.000000000000000000e+00
6.685805815063505797e-01 6.773919271977846268e-01 6.729862543520676033e-01 3.623834687863827639e+02 1.000000000000000000e+00
6.773919271977846268e-01 6.862032728892188960e-01 6.817976000435017614e-01 1.981890006864288694e+02 2.000000000000000000e+00
6.862032728892188960e-01 6.950146185806529431e-01 6.906089457349359195e-01 1.979804580412873918e+02 1.000000000000000000e+00
6.950146185806529431e-01 7.038259642720872122e-01 6.994202914263700777e-01 1.514445931085493839e+02 1.000000000000000000e+00
7.038259642720872122e-01 7.126373099635212593e-01 7.082316371178042358e-01 8.208262754839822151e+01 2.000000000000000000e+00
7.126373099635212593e-01 7.214486556549555285e-01 7.170429828092383939e-01 9.163804759803976197e+01 1.000000000000000000e+00
7.214486556549555285e-01 7.302600013463895756e-01 7.258543285006725521e-01 7.271167022452848983e+01 1.000000000000000000e+00
7.302600013463895756e-01 7.390713470378238448e-01 7.346656741921067102e-01 6.136896662425504445e+01 1.000000000000000000e+00
7.390713470378238448e-01 7.478826927292578919e-01 7.434770198835408683e-01 5.629378237887800651e+01 1.000000000000000000e+00
7.478826927292578919e-01 7.566940384206921610e-01 7.522883655749750265e-01 5.282175879938684204e+01 1.000000000000000000e+00
7.566940384206921610e-01 7.655053841121262082e-01 7.610997112664091846e-01 3.583434677975348848e+01 2.000000000000000000e+00
7.655053841121262082e-01 7.743167298035604773e-01 7.699110569578433427e-01 4.621448769407712120e+01 1.000000000000000000e+00
7.743167298035604773e-01 7.831280754949945244e-01 7.787224026492775009e-01 4.016404144037189639e+01 1.000000000000000000e+00
7.831280754949945244e-01 7.919394211864287936e-01 7.875337483407116590e-01 3.467092250703148437e+01 1.000000000000000000e+00
7.919394211864287936e-01 8.007507668778628407e-01 7.963450940321458171e-01 3.040236667367773293e+01 1.000000000000000000e+00
8.007507668778628407e-01 8.095621125692971098e-01 8.051564397235799753e-01 2.712806871161465949e+01 1.000000000000000000e+00
